# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2022-05-02
#
# GRDC-No.:              1362100
# River:                 NILE RIVER
# Station:               EL EKHSASE
# Country:               --
# Latitude (DD):       29.7
# Longitude (DD):      31.28
# Catchment area (km²):      
# Altitude (m ASL):        20.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1973 - 1984
# No. of years:          12
# Last update:           2018-05-22
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 144
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1973-01-01;--:--;    735.000;   -999.000;   0
1973-02-01;--:--;    822.000;   -999.000;   0
1973-03-01;--:--;   1008.000;   -999.000;   0
1973-04-01;--:--;    968.000;   -999.000;   0
1973-05-01;--:--;   1127.000;   -999.000;   0
1973-06-01;--:--;   1535.000;   -999.000;   0
1973-07-01;--:--;   1702.000;   -999.000;   0
1973-08-01;--:--;   1597.000;   -999.000;   0
1973-09-01;--:--;   1192.000;   -999.000;   0
1973-10-01;--:--;    981.000;   -999.000;   0
1973-11-01;--:--;    949.000;   -999.000;   0
1973-12-01;--:--;    955.000;   -999.000;   0
1974-01-01;--:--;   1105.000;   -999.000;   0
1974-02-01;--:--;    909.000;   -999.000;   0
1974-03-01;--:--;   1149.000;   -999.000;   0
1974-04-01;--:--;   1037.000;   -999.000;   0
1974-05-01;--:--;   1142.000;   -999.000;   0
1974-06-01;--:--;   1516.000;   -999.000;   0
1974-07-01;--:--;   1650.000;   -999.000;   0
1974-08-01;--:--;   1534.000;   -999.000;   0
1974-09-01;--:--;   1149.000;   -999.000;   0
1974-10-01;--:--;    996.000;   -999.000;   0
1974-11-01;--:--;   1014.000;   -999.000;   0
1974-12-01;--:--;   1026.000;   -999.000;   0
1975-01-01;--:--;   1075.000;   -999.000;   0
1975-02-01;--:--;   1033.000;   -999.000;   0
1975-03-01;--:--;   1116.000;   -999.000;   0
1975-04-01;--:--;   1068.000;   -999.000;   0
1975-05-01;--:--;   1179.000;   -999.000;   0
1975-06-01;--:--;   1574.000;   -999.000;   0
1975-07-01;--:--;   1736.000;   -999.000;   0
1975-08-01;--:--;   1515.000;   -999.000;   0
1975-09-01;--:--;   1095.000;   -999.000;   0
1975-10-01;--:--;    974.000;   -999.000;   0
1975-11-01;--:--;    999.000;   -999.000;   0
1975-12-01;--:--;    996.000;   -999.000;   0
1976-01-01;--:--;   1060.000;   -999.000;   0
1976-02-01;--:--;    977.000;   -999.000;   0
1976-03-01;--:--;   1008.000;   -999.000;   0
1976-04-01;--:--;    987.000;   -999.000;   0
1976-05-01;--:--;   1067.000;   -999.000;   0
1976-06-01;--:--;   1512.000;   -999.000;   0
1976-07-01;--:--;   1657.000;   -999.000;   0
1976-08-01;--:--;   1500.000;   -999.000;   0
1976-09-01;--:--;   1076.000;   -999.000;   0
