# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2022-05-02
#
# GRDC-No.:              1362200
# River:                 NILE RIVER
# Station:               ASSIUT
# Country:               --
# Latitude (DD):       27.18
# Longitude (DD):      31.1
# Catchment area (km²):      
# Altitude (m ASL):        51.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1973 - 1984
# No. of years:          12
# Last update:           2018-05-22
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 144
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1973-01-01;--:--;    922.000;   -999.000;   0
1973-02-01;--:--;    958.000;   -999.000;   0
1973-03-01;--:--;    985.000;   -999.000;   0
1973-04-01;--:--;    937.000;   -999.000;   0
1973-05-01;--:--;   1108.000;   -999.000;   0
1973-06-01;--:--;   1527.000;   -999.000;   0
1973-07-01;--:--;   1627.000;   -999.000;   0
1973-08-01;--:--;   1508.000;   -999.000;   0
1973-09-01;--:--;   1076.000;   -999.000;   0
1973-10-01;--:--;    896.000;   -999.000;   0
1973-11-01;--:--;    918.000;   -999.000;   0
1973-12-01;--:--;    862.000;   -999.000;   0
1974-01-01;--:--;   1105.000;   -999.000;   0
1974-02-01;--:--;    863.000;   -999.000;   0
1974-03-01;--:--;   1071.000;   -999.000;   0
1974-04-01;--:--;    956.000;   -999.000;   0
1974-05-01;--:--;   1123.000;   -999.000;   0
1974-06-01;--:--;   1581.000;   -999.000;   0
1974-07-01;--:--;   1627.000;   -999.000;   0
1974-08-01;--:--;   1467.000;   -999.000;   0
1974-09-01;--:--;    979.000;   -999.000;   0
1974-10-01;--:--;    847.000;   -999.000;   0
1974-11-01;--:--;    906.000;   -999.000;   0
1974-12-01;--:--;    851.000;   -999.000;   0
1975-01-01;--:--;   1026.000;   -999.000;   0
1975-02-01;--:--;    925.000;   -999.000;   0
1975-03-01;--:--;    993.000;   -999.000;   0
1975-04-01;--:--;    972.000;   -999.000;   0
1975-05-01;--:--;   1082.000;   -999.000;   0
1975-06-01;--:--;   1543.000;   -999.000;   0
1975-07-01;--:--;   1605.000;   -999.000;   0
1975-08-01;--:--;   1362.000;   -999.000;   0
1975-09-01;--:--;    972.000;   -999.000;   0
1975-10-01;--:--;    791.000;   -999.000;   0
1975-11-01;--:--;    794.000;   -999.000;   0
1975-12-01;--:--;    750.000;   -999.000;   0
1976-01-01;--:--;   1011.000;   -999.000;   0
1976-02-01;--:--;    913.000;   -999.000;   0
1976-03-01;--:--;    899.000;   -999.000;   0
1976-04-01;--:--;    883.000;   -999.000;   0
1976-05-01;--:--;   1011.000;   -999.000;   0
1976-06-01;--:--;   1500.000;   -999.000;   0
1976-07-01;--:--;   1575.000;   -999.000;   0
1976-08-01;--:--;   1400.000;   -999.000;   0
