# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2022-05-02
#
# GRDC-No.:              1362300
# River:                 NILE RIVER
# Station:               NAG HAMMADI
# Country:               --
# Latitude (DD):       26.05
# Longitude (DD):      32.25
# Catchment area (km²):      
# Altitude (m ASL):        69.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1973 - 1984
# No. of years:          12
# Last update:           2018-05-22
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 144
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1973-01-01;--:--;   1019.000;   -999.000;   0
1973-02-01;--:--;   1149.000;   -999.000;   0
1973-03-01;--:--;   1269.000;   -999.000;   0
1973-04-01;--:--;   1180.000;   -999.000;   0
1973-05-01;--:--;   1452.000;   -999.000;   0
1973-06-01;--:--;   1979.000;   -999.000;   0
1973-07-01;--:--;   2068.000;   -999.000;   0
1973-08-01;--:--;   1896.000;   -999.000;   0
1973-09-01;--:--;   1311.000;   -999.000;   0
1973-10-01;--:--;   1082.000;   -999.000;   0
1973-11-01;--:--;   1161.000;   -999.000;   0
1973-12-01;--:--;   1045.000;   -999.000;   0
1974-01-01;--:--;   1101.000;   -999.000;   0
1974-02-01;--:--;   1149.000;   -999.000;   0
1974-03-01;--:--;   1344.000;   -999.000;   0
1974-04-01;--:--;   1253.000;   -999.000;   0
1974-05-01;--:--;   1452.000;   -999.000;   0
1974-06-01;--:--;   2006.000;   -999.000;   0
1974-07-01;--:--;   2072.000;   -999.000;   0
1974-08-01;--:--;   1885.000;   -999.000;   0
1974-09-01;--:--;   1242.000;   -999.000;   0
1974-10-01;--:--;   1075.000;   -999.000;   0
1974-11-01;--:--;   1192.000;   -999.000;   0
1974-12-01;--:--;   1026.000;   -999.000;   0
1975-01-01;--:--;   1026.000;   -999.000;   0
1975-02-01;--:--;   1215.000;   -999.000;   0
1975-03-01;--:--;   1306.000;   -999.000;   0
1975-04-01;--:--;   1277.000;   -999.000;   0
1975-05-01;--:--;   1437.000;   -999.000;   0
1975-06-01;--:--;   1921.000;   -999.000;   0
1975-07-01;--:--;   1997.000;   -999.000;   0
1975-08-01;--:--;   1724.000;   -999.000;   0
1975-09-01;--:--;   1184.000;   -999.000;   0
1975-10-01;--:--;   1015.000;   -999.000;   0
1975-11-01;--:--;   1076.000;   -999.000;   0
1975-12-01;--:--;    985.000;   -999.000;   0
1976-01-01;--:--;   1123.000;   -999.000;   0
1976-02-01;--:--;   1141.000;   -999.000;   0
1976-03-01;--:--;   1176.000;   -999.000;   0
1976-04-01;--:--;   1161.000;   -999.000;   0
1976-05-01;--:--;   1332.000;   -999.000;   0
1976-06-01;--:--;   1921.000;   -999.000;   0
1976-07-01;--:--;   2001.000;   -999.000;   0
1976-08-01;--:--;   1739.000;   -999.000;   0
1976-09-01;--:--;   1215.000;   -999.000;   0
1976-10-01;--:--;   1191.000;   -999.000;   0
1976-11-01;--:--;   1161.000;   -999.000;   0
1976-12-01;--:--;   1247.000;   -999.000;   0
1977-01-01;--:--;   1321.000;   -999.000;   0
1977-02-01;--:--;   1182.000;   -999.000;   0
1977-03-01;--:--;   1336.000;   -999.000;   0
1977-04-01;--:--;   1238.000;   -999.000;   0
1977-05-01;--:--;   1351.000;   -999.000;   0
1977-06-01;--:--;   1998.000;   -999.000;   0
1977-07-01;--:--;   1986.000;   -999.000;   0
1977-08-01;--:--;   1747.000;   -999.000;   0
1977-09-01;--:--;   1462.000;   -999.000;   0
1977-10-01;--:--;   1485.000;   -999.000;   0
1977-11-01;--:--;   1458.000;   -999.000;   0
1977-12-01;--:--;   1583.000;   -999.000;   0
1978-01-01;--:--;   1586.000;   -999.000;   0
1978-02-01;--:--;   1550.000;   -999.000;   0
1978-03-01;--:--;   1624.000;   -999.000;   0
1978-04-01;--:--;   1682.000;   -999.000;   0
1978-05-01;--:--;   1672.000;   -999.000;   0
1978-06-01;--:--;   1890.000;   -999.000;   0
1978-07-01;--:--;   2038.000;   -999.000;   0
1978-08-01;--:--;   1795.000;   -999.000;   0
1978-09-01;--:--;   1562.000;   -999.000;   0
1978-10-01;--:--;   1579.000;   -999.000;   0
1978-11-01;--:--;   1589.000;   -999.000;   0
1978-12-01;--:--;   1590.000;   -999.000;   0
1979-01-01;--:--;   1355.000;   -999.000;   0
1979-02-01;--:--;   1438.000;   -999.000;   0
1979-03-01;--:--;   1441.000;   -999.000;   0
1979-04-01;--:--;   1381.000;   -999.000;   0
1979-05-01;--:--;   1534.000;   -999.000;   0
1979-06-01;--:--;   2075.000;   -999.000;   0
1979-07-01;--:--;   2236.000;   -999.000;   0
1979-08-01;--:--;   1881.000;   -999.000;   0
1979-09-01;--:--;   1419.000;   -999.000;   0
1979-10-01;--:--;   1239.000;   -999.000;   0
1979-11-01;--:--;   1165.000;   -999.000;   0
1979-12-01;--:--;   1194.000;   -999.000;   0
1980-01-01;--:--;   1308.000;   -999.000;   0
1980-02-01;--:--;   1238.000;   -999.000;   0
1980-03-01;--:--;   1319.000;   -999.000;   0
1980-04-01;--:--;   1285.000;   -999.000;   0
1980-05-01;--:--;   1493.000;   -999.000;   0
1980-06-01;--:--;   2002.000;   -999.000;   0
1980-07-01;--:--;   2199.000;   -999.000;   0
1980-08-01;--:--;   1840.000;   -999.000;   0
1980-09-01;--:--;   1389.000;   -999.000;   0
1980-10-01;--:--;   1145.000;   -999.000;   0
1980-11-01;--:--;   1157.000;   -999.000;   0
1980-12-01;--:--;   1169.000;   -999.000;   0
1981-01-01;--:--;   1319.000;   -999.000;   0
1981-02-01;--:--;   1308.000;   -999.000;   0
1981-03-01;--:--;   1366.000;   -999.000;   0
1981-04-01;--:--;   1319.000;   -999.000;   0
1981-05-01;--:--;   1505.000;   -999.000;   0
1981-06-01;--:--;   1891.000;   -999.000;   0
1981-07-01;--:--;   2176.000;   -999.000;   0
1981-08-01;--:--;   1152.000;   -999.000;   0
1981-09-01;--:--;   1458.000;   -999.000;   0
1981-10-01;--:--;   1354.000;   -999.000;   0
1981-11-01;--:--;   1331.000;   -999.000;   0
1981-12-01;--:--;   1377.000;   -999.000;   0
1982-01-01;--:--;   1574.000;   -999.000;   0
1982-02-01;--:--;   1343.000;   -999.000;   0
1982-03-01;--:--;   1412.000;   -999.000;   0
1982-04-01;--:--;   1366.000;   -999.000;   0
1982-05-01;--:--;   1528.000;   -999.000;   0
1982-06-01;--:--;   2083.000;   -999.000;   0
1982-07-01;--:--;   2199.000;   -999.000;   0
1982-08-01;--:--;   1921.000;   -999.000;   0
1982-09-01;--:--;   1493.000;   -999.000;   0
1982-10-01;--:--;   1400.000;   -999.000;   0
1982-11-01;--:--;   1377.000;   -999.000;   0
1982-12-01;--:--;   1400.000;   -999.000;   0
