# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2022-05-02
#
# GRDC-No.:              1362400
# River:                 NILE RIVER
# Station:               ESNA
# Country:               --
# Latitude (DD):       25.32
# Longitude (DD):      32.56
# Catchment area (km²):      
# Altitude (m ASL):        80.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1973 - 1984
# No. of years:          12
# Last update:           2018-05-22
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 144
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1973-01-01;--:--;   1228.000;   -999.000;   0
1973-02-01;--:--;   1417.000;   -999.000;   0
1973-03-01;--:--;   1560.000;   -999.000;   0
1973-04-01;--:--;   1442.000;   -999.000;   0
1973-05-01;--:--;   1792.000;   -999.000;   0
1973-06-01;--:--;   2380.000;   -999.000;   0
1973-07-01;--:--;   2460.000;   -999.000;   0
1973-08-01;--:--;   2258.000;   -999.000;   0
1973-09-01;--:--;   1566.000;   -999.000;   0
1973-10-01;--:--;   1314.000;   -999.000;   0
1973-11-01;--:--;   1450.000;   -999.000;   0
1973-12-01;--:--;   1269.000;   -999.000;   0
1974-01-01;--:--;   1064.000;   -999.000;   0
1974-02-01;--:--;   1479.000;   -999.000;   0
1974-03-01;--:--;   1616.000;   -999.000;   0
1974-04-01;--:--;   1527.000;   -999.000;   0
1974-05-01;--:--;   1795.000;   -999.000;   0
1974-06-01;--:--;   2380.000;   -999.000;   0
1974-07-01;--:--;   2434.000;   -999.000;   0
1974-08-01;--:--;   2187.000;   -999.000;   0
1974-09-01;--:--;   1469.000;   -999.000;   0
1974-10-01;--:--;   1321.000;   -999.000;   0
1974-11-01;--:--;   1473.000;   -999.000;   0
1974-12-01;--:--;   1235.000;   -999.000;   0
1975-01-01;--:--;   1135.000;   -999.000;   0
1975-02-01;--:--;   1500.000;   -999.000;   0
1975-03-01;--:--;   1612.000;   -999.000;   0
1975-04-01;--:--;   1558.000;   -999.000;   0
1975-05-01;--:--;   1765.000;   -999.000;   0
1975-06-01;--:--;   2318.000;   -999.000;   0
1975-07-01;--:--;   2340.000;   -999.000;   0
1975-08-01;--:--;   2019.000;   -999.000;   0
1975-09-01;--:--;   1427.000;   -999.000;   0
1975-10-01;--:--;   1247.000;   -999.000;   0
1975-11-01;--:--;   1338.000;   -999.000;   0
1975-12-01;--:--;   1202.000;   -999.000;   0
1976-01-01;--:--;   1209.000;   -999.000;   0
1976-02-01;--:--;   1301.000;   -999.000;   0
1976-03-01;--:--;   1355.000;   -999.000;   0
1976-04-01;--:--;   1354.000;   -999.000;   0
1976-05-01;--:--;   1579.000;   -999.000;   0
1976-06-01;--:--;   2141.000;   -999.000;   0
1976-07-01;--:--;   2191.000;   -999.000;   0
1976-08-01;--:--;   1941.000;   -999.000;   0
1976-09-01;--:--;   1396.000;   -999.000;   0
1976-10-01;--:--;   1344.000;   -999.000;   0
1976-11-01;--:--;   1365.000;   -999.000;   0
1976-12-01;--:--;   1388.000;   -999.000;   0
1977-01-01;--:--;   1400.000;   -999.000;   0
1977-02-01;--:--;   1393.000;   -999.000;   0
1977-03-01;--:--;   1568.000;   -999.000;   0
1977-04-01;--:--;   1435.000;   -999.000;   0
1977-05-01;--:--;   1612.000;   -999.000;   0
1977-06-01;--:--;   2214.000;   -999.000;   0
1977-07-01;--:--;   2154.000;   -999.000;   0
1977-08-01;--:--;   1945.000;   -999.000;   0
1977-09-01;--:--;   1439.000;   -999.000;   0
1977-10-01;--:--;   1459.000;   -999.000;   0
1977-11-01;--:--;   1084.000;   -999.000;   0
1977-12-01;--:--;   1653.000;   -999.000;   0
1978-01-01;--:--;   1594.000;   -999.000;   0
1978-02-01;--:--;   1653.000;   -999.000;   0
1978-03-01;--:--;   1799.000;   -999.000;   0
1978-04-01;--:--;   1936.000;   -999.000;   0
1978-05-01;--:--;   1907.000;   -999.000;   0
1978-06-01;--:--;   2206.000;   -999.000;   0
1978-07-01;--:--;   2344.000;   -999.000;   0
1978-08-01;--:--;   2016.000;   -999.000;   0
1978-09-01;--:--;   1566.000;   -999.000;   0
1978-10-01;--:--;   1538.000;   -999.000;   0
1978-11-01;--:--;   1604.000;   -999.000;   0
1978-12-01;--:--;   1575.000;   -999.000;   0
1979-01-01;--:--;   1359.000;   -999.000;   0
1979-02-01;--:--;   1616.000;   -999.000;   0
1979-03-01;--:--;   1575.000;   -999.000;   0
1979-04-01;--:--;   1520.000;   -999.000;   0
1979-05-01;--:--;   1721.000;   -999.000;   0
1979-06-01;--:--;   2326.000;   -999.000;   0
1979-07-01;--:--;   2411.000;   -999.000;   0
1979-08-01;--:--;   2042.000;   -999.000;   0
1979-09-01;--:--;   1558.000;   -999.000;   0
1979-10-01;--:--;   1351.000;   -999.000;   0
1979-11-01;--:--;   1323.000;   -999.000;   0
1979-12-01;--:--;   1303.000;   -999.000;   0
1980-01-01;--:--;   1285.000;   -999.000;   0
1980-02-01;--:--;   1424.000;   -999.000;   0
1980-03-01;--:--;   1493.000;   -999.000;   0
1980-04-01;--:--;   1458.000;   -999.000;   0
1980-05-01;--:--;   1678.000;   -999.000;   0
1980-06-01;--:--;   2234.000;   -999.000;   0
1980-07-01;--:--;   2384.000;   -999.000;   0
1980-08-01;--:--;   2049.000;   -999.000;   0
1980-09-01;--:--;   1551.000;   -999.000;   0
1980-10-01;--:--;   1273.000;   -999.000;   0
1980-11-01;--:--;   1342.000;   -999.000;   0
1980-12-01;--:--;   1296.000;   -999.000;   0
1981-01-01;--:--;   1227.000;   -999.000;   0
1981-02-01;--:--;   1435.000;   -999.000;   0
1981-03-01;--:--;   1481.000;   -999.000;   0
1981-04-01;--:--;   1447.000;   -999.000;   0
1981-05-01;--:--;   1609.000;   -999.000;   0
1981-06-01;--:--;   2164.000;   -999.000;   0
1981-07-01;--:--;   2407.000;   -999.000;   0
1981-08-01;--:--;   2049.000;   -999.000;   0
1981-09-01;--:--;   1574.000;   -999.000;   0
1981-10-01;--:--;   1424.000;   -999.000;   0
1981-11-01;--:--;   1458.000;   -999.000;   0
1981-12-01;--:--;   1458.000;   -999.000;   0
