# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2022-05-02
#
# GRDC-No.:              1362500
# River:                 NILE RIVER
# Station:               GAAFRA
# Country:               --
# Latitude (DD):       24.32
# Longitude (DD):      32.9
# Catchment area (km²):      
# Altitude (m ASL):        85.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1973 - 1984
# No. of years:          12
# Last update:           2018-05-22
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 144
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1973-01-01;--:--;   1336.000;   -999.000;   0
1973-02-01;--:--;   1450.000;   -999.000;   0
1973-03-01;--:--;   1609.000;   -999.000;   0
1973-04-01;--:--;   1523.000;   -999.000;   0
1973-05-01;--:--;   1922.000;   -999.000;   0
1973-06-01;--:--;   2507.000;   -999.000;   0
1973-07-01;--:--;   2591.000;   -999.000;   0
1973-08-01;--:--;   2344.000;   -999.000;   0
1973-09-01;--:--;   1647.000;   -999.000;   0
1973-10-01;--:--;   1418.000;   -999.000;   0
1973-11-01;--:--;   1520.000;   -999.000;   0
1973-12-01;--:--;   1359.000;   -999.000;   0
1974-01-01;--:--;   1008.000;   -999.000;   0
1974-02-01;--:--;   1570.000;   -999.000;   0
1974-03-01;--:--;   1661.000;   -999.000;   0
1974-04-01;--:--;   1577.000;   -999.000;   0
1974-05-01;--:--;   1919.000;   -999.000;   0
1974-06-01;--:--;   2480.000;   -999.000;   0
1974-07-01;--:--;   2557.000;   -999.000;   0
1974-08-01;--:--;   2277.000;   -999.000;   0
1974-09-01;--:--;   1550.000;   -999.000;   0
1974-10-01;--:--;   1441.000;   -999.000;   0
1974-11-01;--:--;   1543.000;   -999.000;   0
1974-12-01;--:--;   1276.000;   -999.000;   0
1975-01-01;--:--;   1131.000;   -999.000;   0
1975-02-01;--:--;   1533.000;   -999.000;   0
1975-03-01;--:--;   1653.000;   -999.000;   0
1975-04-01;--:--;   1608.000;   -999.000;   0
1975-05-01;--:--;   1874.000;   -999.000;   0
1975-06-01;--:--;   2372.000;   -999.000;   0
1975-07-01;--:--;   2408.000;   -999.000;   0
1975-08-01;--:--;   2075.000;   -999.000;   0
1975-09-01;--:--;   1496.000;   -999.000;   0
1975-10-01;--:--;   1344.000;   -999.000;   0
1975-11-01;--:--;   1404.000;   -999.000;   0
1975-12-01;--:--;   1247.000;   -999.000;   0
1976-01-01;--:--;   1276.000;   -999.000;   0
1976-02-01;--:--;   1388.000;   -999.000;   0
1976-03-01;--:--;   1456.000;   -999.000;   0
1976-04-01;--:--;   1477.000;   -999.000;   0
1976-05-01;--:--;   1773.000;   -999.000;   0
1976-06-01;--:--;   2422.000;   -999.000;   0
1976-07-01;--:--;   2471.000;   -999.000;   0
1976-08-01;--:--;   2180.000;   -999.000;   0
1976-09-01;--:--;   1535.000;   -999.000;   0
1976-10-01;--:--;   1493.000;   -999.000;   0
1976-11-01;--:--;   1500.000;   -999.000;   0
1976-12-01;--:--;   1485.000;   -999.000;   0
1977-01-01;--:--;   1471.000;   -999.000;   0
1977-02-01;--:--;   1521.000;   -999.000;   0
1977-03-01;--:--;   1721.000;   -999.000;   0
1977-04-01;--:--;   1589.000;   -999.000;   0
1977-05-01;--:--;   1840.000;   -999.000;   0
1977-06-01;--:--;   2472.000;   -999.000;   0
1977-07-01;--:--;   2467.000;   -999.000;   0
1977-08-01;--:--;   2176.000;   -999.000;   0
1977-09-01;--:--;   1624.000;   -999.000;   0
1977-10-01;--:--;   1653.000;   -999.000;   0
1977-11-01;--:--;   1651.000;   -999.000;   0
1977-12-01;--:--;   1818.000;   -999.000;   0
1978-01-01;--:--;   1642.000;   -999.000;   0
1978-02-01;--:--;   1781.000;   -999.000;   0
1978-03-01;--:--;   1930.000;   -999.000;   0
1978-04-01;--:--;   2048.000;   -999.000;   0
1978-05-01;--:--;   2083.000;   -999.000;   0
1978-06-01;--:--;   2411.000;   -999.000;   0
1978-07-01;--:--;   2587.000;   -999.000;   0
1978-08-01;--:--;   2195.000;   -999.000;   0
1978-09-01;--:--;   1782.000;   -999.000;   0
1978-10-01;--:--;   1672.000;   -999.000;   0
1978-11-01;--:--;   1763.000;   -999.000;   0
1978-12-01;--:--;   1687.000;   -999.000;   0
1979-01-01;--:--;   1448.000;   -999.000;   0
1979-02-01;--:--;   1802.000;   -999.000;   0
1979-03-01;--:--;   1754.000;   -999.000;   0
1979-04-01;--:--;   1739.000;   -999.000;   0
1979-05-01;--:--;   1982.000;   -999.000;   0
1979-06-01;--:--;   2592.000;   -999.000;   0
1979-07-01;--:--;   2691.000;   -999.000;   0
1979-08-01;--:--;   2292.000;   -999.000;   0
1979-09-01;--:--;   1790.000;   -999.000;   0
1979-10-01;--:--;   1575.000;   -999.000;   0
1979-11-01;--:--;   1527.000;   -999.000;   0
1979-12-01;--:--;   1482.000;   -999.000;   0
1980-01-01;--:--;   1331.000;   -999.000;   0
1980-02-01;--:--;   1620.000;   -999.000;   0
1980-03-01;--:--;   1690.000;   -999.000;   0
1980-04-01;--:--;   1655.000;   -999.000;   0
1980-05-01;--:--;   1968.000;   -999.000;   0
1980-06-01;--:--;   2546.000;   -999.000;   0
1980-07-01;--:--;   2662.000;   -999.000;   0
1980-08-01;--:--;   2326.000;   -999.000;   0
1980-09-01;--:--;   1806.000;   -999.000;   0
1980-10-01;--:--;   1505.000;   -999.000;   0
1980-11-01;--:--;   1539.000;   -999.000;   0
1980-12-01;--:--;   1481.000;   -999.000;   0
1981-01-01;--:--;   1589.000;   -999.000;   0
1981-02-01;--:--;   1644.000;   -999.000;   0
1981-03-01;--:--;   1678.000;   -999.000;   0
1981-04-01;--:--;   1655.000;   -999.000;   0
1981-05-01;--:--;   1187.000;   -999.000;   0
1981-06-01;--:--;   2477.000;   -999.000;   0
1981-07-01;--:--;   2650.000;   -999.000;   0
1981-08-01;--:--;   2268.000;   -999.000;   0
1981-09-01;--:--;   1829.000;   -999.000;   0
1981-10-01;--:--;   1678.000;   -999.000;   0
1981-11-01;--:--;   1678.000;   -999.000;   0
1981-12-01;--:--;   1667.000;   -999.000;   0
1982-01-01;--:--;   1632.000;   -999.000;   0
1982-02-01;--:--;   1678.000;   -999.000;   0
1982-03-01;--:--;   1701.000;   -999.000;   0
1982-04-01;--:--;   1678.000;   -999.000;   0
1982-05-01;--:--;   1921.000;   -999.000;   0
1982-06-01;--:--;   2558.000;   -999.000;   0
1982-07-01;--:--;   2639.000;   -999.000;   0
1982-08-01;--:--;   2338.000;   -999.000;   0
1982-09-01;--:--;   1852.000;   -999.000;   0
1982-10-01;--:--;   1725.000;   -999.000;   0
1982-11-01;--:--;   1713.000;   -999.000;   0
1982-12-01;--:--;   1701.000;   -999.000;   0
1983-01-01;--:--;   1568.000;   -999.000;   0
1983-02-01;--:--;   1620.000;   -999.000;   0
1983-03-01;--:--;   1655.000;   -999.000;   0
1983-04-01;--:--;   1713.000;   -999.000;   0
1983-05-01;--:--;   1852.000;   -999.000;   0
1983-06-01;--:--;   2535.000;   -999.000;   0
1983-07-01;--:--;   2581.000;   -999.000;   0
1983-08-01;--:--;   2338.000;   -999.000;   0
1983-09-01;--:--;   1782.000;   -999.000;   0
1983-10-01;--:--;   1551.000;   -999.000;   0
1983-11-01;--:--;   1539.000;   -999.000;   0
1983-12-01;--:--;   1470.000;   -999.000;   0
1984-01-01;--:--;   1377.000;   -999.000;   0
1984-02-01;--:--;   1609.000;   -999.000;   0
1984-03-01;--:--;   1667.000;   -999.000;   0
1984-04-01;--:--;   1690.000;   -999.000;   0
1984-05-01;--:--;   1910.000;   -999.000;   0
1984-06-01;--:--;   2685.000;   -999.000;   0
1984-07-01;--:--;   2627.000;   -999.000;   0
1984-08-01;--:--;   2350.000;   -999.000;   0
1984-09-01;--:--;   1840.000;   -999.000;   0
1984-10-01;--:--;   1725.000;   -999.000;   0
1984-11-01;--:--;   1493.000;   -999.000;   0
1984-12-01;--:--;   1435.000;   -999.000;   0
