# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2022-05-02
#
# GRDC-No.:              1362600
# River:                 NILE RIVER
# Station:               ASWAN DAM
# Country:               --
# Latitude (DD):       23.96
# Longitude (DD):      32.9
# Catchment area (km²):      
# Altitude (m ASL):        -999.00
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1869 - 1984
# No. of years:          116
# Last update:           2018-05-22
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 1386
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1869-07-01;--:--;   2606.000;   -999.000;   0
1869-08-01;--:--;   8885.000;   -999.000;   0
1869-09-01;--:--;  10918.000;   -999.000;   0
1869-10-01;--:--;   8699.000;   -999.000;   0
1869-11-01;--:--;   -999.000;   -999.000;   0
1869-12-01;--:--;   -999.000;   -999.000;   0
1870-01-01;--:--;   -999.000;   -999.000;   0
1870-02-01;--:--;   -999.000;   -999.000;   0
1870-03-01;--:--;   1146.000;   -999.000;   0
1870-04-01;--:--;    682.000;   -999.000;   0
1870-05-01;--:--;    545.000;   -999.000;   0
1870-06-01;--:--;    540.000;   -999.000;   0
1870-07-01;--:--;   3027.000;   -999.000;   0
1870-08-01;--:--;  10304.000;   -999.000;   0
1870-09-01;--:--;  10802.000;   -999.000;   0
1870-10-01;--:--;   8288.000;   -999.000;   0
1870-11-01;--:--;   5709.000;   -999.000;   0
1870-12-01;--:--;   3576.000;   -999.000;   0
1871-01-01;--:--;   2606.000;   -999.000;   0
1871-02-01;--:--;   1992.000;   -999.000;   0
1871-03-01;--:--;   1485.000;   -999.000;   0
1871-04-01;--:--;    933.000;   -999.000;   0
1871-05-01;--:--;    731.000;   -999.000;   0
1871-06-01;--:--;    760.000;   -999.000;   0
1871-07-01;--:--;   2475.000;   -999.000;   0
1871-08-01;--:--;   8960.000;   -999.000;   0
1871-09-01;--:--;   9953.000;   -999.000;   0
1871-10-01;--:--;   6571.000;   -999.000;   0
1871-11-01;--:--;   3522.000;   -999.000;   0
1871-12-01;--:--;   2419.000;   -999.000;   0
1872-01-01;--:--;   1672.000;   -999.000;   0
1872-02-01;--:--;   1033.000;   -999.000;   0
1872-03-01;--:--;    728.000;   -999.000;   0
1872-04-01;--:--;    605.000;   -999.000;   0
1872-05-01;--:--;    560.000;   -999.000;   0
