# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2022-05-02
#
# GRDC-No.:              1662100
# River:                 NILE RIVER
# Station:               DONGOLA
# Country:               --
# Latitude (DD):       19.18
# Longitude (DD):      30.48
# Catchment area (km²):      
# Altitude (m ASL):        212.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1912 - 1984
# No. of years:          73
# Last update:           2018-07-02
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 876
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1912-01-01;--:--;   1448.000;   -999.000;   0
1912-02-01;--:--;   1013.000;   -999.000;   0
1912-03-01;--:--;    716.000;   -999.000;   0
1912-04-01;--:--;    559.000;   -999.000;   0
1912-05-01;--:--;    459.000;   -999.000;   0
1912-06-01;--:--;    416.000;   -999.000;   0
1912-07-01;--:--;   1381.000;   -999.000;   0
1912-08-01;--:--;   7765.000;   -999.000;   0
1912-09-01;--:--;   7561.000;   -999.000;   0
1912-10-01;--:--;   4144.000;   -999.000;   0
1912-11-01;--:--;   2353.000;   -999.000;   0
1912-12-01;--:--;   1709.000;   -999.000;   0
1913-01-01;--:--;   1362.000;   -999.000;   0
1913-02-01;--:--;    954.000;   -999.000;   0
1913-03-01;--:--;    698.000;   -999.000;   0
1913-04-01;--:--;    570.000;   -999.000;   0
1913-05-01;--:--;    507.000;   -999.000;   0
1913-06-01;--:--;    655.000;   -999.000;   0
1913-07-01;--:--;    832.000;   -999.000;   0
1913-08-01;--:--;   2867.000;   -999.000;   0
1913-09-01;--:--;   5169.000;   -999.000;   0
1913-10-01;--:--;   2934.000;   -999.000;   0
1913-11-01;--:--;   1597.000;   -999.000;   0
1913-12-01;--:--;   1127.000;   -999.000;   0
1914-01-01;--:--;    784.000;   -999.000;   0
1914-02-01;--:--;    586.000;   -999.000;   0
1914-03-01;--:--;    481.000;   -999.000;   0
1914-04-01;--:--;    424.000;   -999.000;   0
1914-05-01;--:--;    440.000;   -999.000;   0
1914-06-01;--:--;    439.000;   -999.000;   0
1914-07-01;--:--;   1082.000;   -999.000;   0
1914-08-01;--:--;   8549.000;   -999.000;   0
1914-09-01;--:--;   8603.000;   -999.000;   0
1914-10-01;--:--;   6720.000;   -999.000;   0
1914-11-01;--:--;   4050.000;   -999.000;   0
1914-12-01;--:--;   2337.000;   -999.000;   0
1915-01-01;--:--;   1564.000;   -999.000;   0
1915-02-01;--:--;   1211.000;   -999.000;   0
1915-03-01;--:--;    765.000;   -999.000;   0
1915-04-01;--:--;    532.000;   -999.000;   0
1915-05-01;--:--;    481.000;   -999.000;   0
1915-06-01;--:--;    617.000;   -999.000;   0
1915-07-01;--:--;   1149.000;   -999.000;   0
1915-08-01;--:--;   4592.000;   -999.000;   0
1915-09-01;--:--;   6327.000;   -999.000;   0
1915-10-01;--:--;   5600.000;   -999.000;   0
1915-11-01;--:--;   3024.000;   -999.000;   0
1915-12-01;--:--;   1833.000;   -999.000;   0
1916-01-01;--:--;   1310.000;   -999.000;   0
1916-02-01;--:--;    866.000;   -999.000;   0
1916-03-01;--:--;    560.000;   -999.000;   0
1916-04-01;--:--;    455.000;   -999.000;   0
1916-05-01;--:--;    421.000;   -999.000;   0
1916-06-01;--:--;    509.000;   -999.000;   0
1916-07-01;--:--;   2277.000;   -999.000;   0
1916-08-01;--:--;  10117.000;   -999.000;   0
1916-09-01;--:--;  12229.000;   -999.000;   0
1916-10-01;--:--;   8661.000;   -999.000;   0
1916-11-01;--:--;   4706.000;   -999.000;   0
1916-12-01;--:--;   2635.000;   -999.000;   0
1917-01-01;--:--;   1993.000;   -999.000;   0
1917-02-01;--:--;   1707.000;   -999.000;   0
1917-03-01;--:--;   1415.000;   -999.000;   0
1917-04-01;--:--;    929.000;   -999.000;   0
1917-05-01;--:--;    657.000;   -999.000;   0
1917-06-01;--:--;    802.000;   -999.000;   0
1917-07-01;--:--;   2176.000;   -999.000;   0
1917-08-01;--:--;   7317.000;   -999.000;   0
1917-09-01;--:--;  12152.000;   -999.000;   0
1917-10-01;--:--;   9035.000;   -999.000;   0
1917-11-01;--:--;   4475.000;   -999.000;   0
1917-12-01;--:--;   2568.000;   -999.000;   0
1918-01-01;--:--;   1997.000;   -999.000;   0
1918-02-01;--:--;   1798.000;   -999.000;   0
1918-03-01;--:--;   1795.000;   -999.000;   0
1918-04-01;--:--;   1751.000;   -999.000;   0
1918-05-01;--:--;   1620.000;   -999.000;   0
1918-06-01;--:--;   1334.000;   -999.000;   0
1918-07-01;--:--;   2352.000;   -999.000;   0
1918-08-01;--:--;   5824.000;   -999.000;   0
1918-09-01;--:--;   7253.000;   -999.000;   0
1918-10-01;--:--;   4442.000;   -999.000;   0
1918-11-01;--:--;   2573.000;   -999.000;   0
1918-12-01;--:--;   1870.000;   -999.000;   0
1919-01-01;--:--;   1381.000;   -999.000;   0
1919-02-01;--:--;    987.000;   -999.000;   0
1919-03-01;--:--;    772.000;   -999.000;   0
1919-04-01;--:--;    625.000;   -999.000;   0
1919-05-01;--:--;    548.000;   -999.000;   0
1919-06-01;--:--;    648.000;   -999.000;   0
1919-07-01;--:--;   1892.000;   -999.000;   0
1919-08-01;--:--;   7168.000;   -999.000;   0
1919-09-01;--:--;   8641.000;   -999.000;   0
1919-10-01;--:--;   4853.000;   -999.000;   0
1919-11-01;--:--;   2415.000;   -999.000;   0
1919-12-01;--:--;   1680.000;   -999.000;   0
1920-01-01;--:--;   1280.000;   -999.000;   0
1920-02-01;--:--;    818.000;   -999.000;   0
1920-03-01;--:--;    593.000;   -999.000;   0
1920-04-01;--:--;    505.000;   -999.000;   0
1920-05-01;--:--;    455.000;   -999.000;   0
1920-06-01;--:--;    760.000;   -999.000;   0
1920-07-01;--:--;   2326.000;   -999.000;   0
1920-08-01;--:--;   7728.000;   -999.000;   0
1920-09-01;--:--;   7368.000;   -999.000;   0
1920-10-01;--:--;   5899.000;   -999.000;   0
1920-11-01;--:--;   3360.000;   -999.000;   0
1920-12-01;--:--;   1933.000;   -999.000;   0
1921-01-01;--:--;   1418.000;   -999.000;   0
1921-02-01;--:--;    901.000;   -999.000;   0
1921-03-01;--:--;    627.000;   -999.000;   0
1921-04-01;--:--;    501.000;   -999.000;   0
1921-05-01;--:--;    418.000;   -999.000;   0
1921-06-01;--:--;    532.000;   -999.000;   0
1921-07-01;--:--;   1232.000;   -999.000;   0
1921-08-01;--:--;   6683.000;   -999.000;   0
1921-09-01;--:--;   8294.000;   -999.000;   0
1921-10-01;--:--;   5675.000;   -999.000;   0
1921-11-01;--:--;   2754.000;   -999.000;   0
1921-12-01;--:--;   1709.000;   -999.000;   0
1922-01-01;--:--;   1276.000;   -999.000;   0
1922-02-01;--:--;    810.000;   -999.000;   0
1922-03-01;--:--;    515.000;   -999.000;   0
1922-04-01;--:--;    405.000;   -999.000;   0
1922-05-01;--:--;    328.000;   -999.000;   0
1922-06-01;--:--;    385.000;   -999.000;   0
1922-07-01;--:--;   1426.000;   -999.000;   0
1922-08-01;--:--;   7205.000;   -999.000;   0
1922-09-01;--:--;   9837.000;   -999.000;   0
1922-10-01;--:--;   6347.000;   -999.000;   0
1922-11-01;--:--;   3136.000;   -999.000;   0
1922-12-01;--:--;   1889.000;   -999.000;   0
1923-01-01;--:--;   1362.000;   -999.000;   0
1923-02-01;--:--;    814.000;   -999.000;   0
1923-03-01;--:--;    470.000;   -999.000;   0
1923-04-01;--:--;    435.000;   -999.000;   0
1923-05-01;--:--;    567.000;   -999.000;   0
1923-06-01;--:--;    914.000;   -999.000;   0
1923-07-01;--:--;   1866.000;   -999.000;   0
1923-08-01;--:--;   8400.000;   -999.000;   0
1923-09-01;--:--;   8912.000;   -999.000;   0
1923-10-01;--:--;   6235.000;   -999.000;   0
1923-11-01;--:--;   2689.000;   -999.000;   0
1923-12-01;--:--;   1788.000;   -999.000;   0
1924-01-01;--:--;   1392.000;   -999.000;   0
1924-02-01;--:--;    957.000;   -999.000;   0
1924-03-01;--:--;    616.000;   -999.000;   0
1924-04-01;--:--;    478.000;   -999.000;   0
1924-05-01;--:--;    522.000;   -999.000;   0
1924-06-01;--:--;    597.000;   -999.000;   0
1924-07-01;--:--;   2139.000;   -999.000;   0
1924-08-01;--:--;   7317.000;   -999.000;   0
1924-09-01;--:--;   8989.000;   -999.000;   0
1924-10-01;--:--;   5413.000;   -999.000;   0
1924-11-01;--:--;   3047.000;   -999.000;   0
1924-12-01;--:--;   1975.000;   -999.000;   0
1925-01-01;--:--;   1403.000;   -999.000;   0
1925-02-01;--:--;   1020.000;   -999.000;   0
1925-03-01;--:--;    679.000;   -999.000;   0
1925-04-01;--:--;    528.000;   -999.000;   0
1925-05-01;--:--;    481.000;   -999.000;   0
1925-06-01;--:--;    628.000;   -999.000;   0
1925-07-01;--:--;   1657.000;   -999.000;   0
1925-08-01;--:--;   5861.000;   -999.000;   0
1925-09-01;--:--;   6905.000;   -999.000;   0
1925-10-01;--:--;   4778.000;   -999.000;   0
1925-11-01;--:--;   2291.000;   -999.000;   0
1925-12-01;--:--;   1523.000;   -999.000;   0
1926-01-01;--:--;   1265.000;   -999.000;   0
1926-02-01;--:--;    921.000;   -999.000;   0
1926-03-01;--:--;    679.000;   -999.000;   0
1926-04-01;--:--;    652.000;   -999.000;   0
1926-05-01;--:--;    657.000;   -999.000;   0
1926-06-01;--:--;   1041.000;   -999.000;   0
1926-07-01;--:--;   1851.000;   -999.000;   0
1926-08-01;--:--;   8064.000;   -999.000;   0
1926-09-01;--:--;   8912.000;   -999.000;   0
1926-10-01;--:--;   5563.000;   -999.000;   0
1926-11-01;--:--;   2893.000;   -999.000;   0
1926-12-01;--:--;   1795.000;   -999.000;   0
1927-01-01;--:--;   1437.000;   -999.000;   0
1927-02-01;--:--;   1132.000;   -999.000;   0
1927-03-01;--:--;    731.000;   -999.000;   0
1927-04-01;--:--;    613.000;   -999.000;   0
1927-05-01;--:--;    586.000;   -999.000;   0
1927-06-01;--:--;    578.000;   -999.000;   0
1927-07-01;--:--;   1773.000;   -999.000;   0
1927-08-01;--:--;   6832.000;   -999.000;   0
1927-09-01;--:--;   7831.000;   -999.000;   0
1927-10-01;--:--;   5114.000;   -999.000;   0
1927-11-01;--:--;   2125.000;   -999.000;   0
1927-12-01;--:--;   1370.000;   -999.000;   0
1928-01-01;--:--;    966.000;   -999.000;   0
1928-02-01;--:--;    674.000;   -999.000;   0
1928-03-01;--:--;    545.000;   -999.000;   0
1928-04-01;--:--;    513.000;   -999.000;   0
1928-05-01;--:--;    642.000;   -999.000;   0
1928-06-01;--:--;   1045.000;   -999.000;   0
1928-07-01;--:--;   2807.000;   -999.000;   0
1928-08-01;--:--;   7429.000;   -999.000;   0
1928-09-01;--:--;   8101.000;   -999.000;   0
1928-10-01;--:--;   4554.000;   -999.000;   0
1928-11-01;--:--;   2550.000;   -999.000;   0
1928-12-01;--:--;   1624.000;   -999.000;   0
1929-01-01;--:--;   1299.000;   -999.000;   0
1929-02-01;--:--;    921.000;   -999.000;   0
1929-03-01;--:--;    675.000;   -999.000;   0
1929-04-01;--:--;    570.000;   -999.000;   0
1929-05-01;--:--;    668.000;   -999.000;   0
1929-06-01;--:--;   1454.000;   -999.000;   0
1929-07-01;--:--;   3733.000;   -999.000;   0
1929-08-01;--:--;   9483.000;   -999.000;   0
1929-09-01;--:--;   9953.000;   -999.000;   0
1929-10-01;--:--;   6981.000;   -999.000;   0
1929-11-01;--:--;   3595.000;   -999.000;   0
1929-12-01;--:--;   1945.000;   -999.000;   0
1930-01-01;--:--;   1571.000;   -999.000;   0
1930-02-01;--:--;   1186.000;   -999.000;   0
1930-03-01;--:--;    825.000;   -999.000;   0
1930-04-01;--:--;    667.000;   -999.000;   0
1930-05-01;--:--;    649.000;   -999.000;   0
1930-06-01;--:--;    736.000;   -999.000;   0
1930-07-01;--:--;   2087.000;   -999.000;   0
1930-08-01;--:--;   7355.000;   -999.000;   0
1930-09-01;--:--;   7137.000;   -999.000;   0
1930-10-01;--:--;   4293.000;   -999.000;   0
1930-11-01;--:--;   2017.000;   -999.000;   0
1930-12-01;--:--;   1366.000;   -999.000;   0
1931-01-01;--:--;   1015.000;   -999.000;   0
1931-02-01;--:--;    677.000;   -999.000;   0
1931-03-01;--:--;    548.000;   -999.000;   0
1931-04-01;--:--;    486.000;   -999.000;   0
1931-05-01;--:--;    500.000;   -999.000;   0
1931-06-01;--:--;    462.000;   -999.000;   0
1931-07-01;--:--;   1258.000;   -999.000;   0
1931-08-01;--:--;   6309.000;   -999.000;   0
1931-09-01;--:--;   8333.000;   -999.000;   0
1931-10-01;--:--;   5525.000;   -999.000;   0
1931-11-01;--:--;   3055.000;   -999.000;   0
1931-12-01;--:--;   1650.000;   -999.000;   0
1932-01-01;--:--;   1284.000;   -999.000;   0
1932-02-01;--:--;    802.000;   -999.000;   0
1932-03-01;--:--;    626.000;   -999.000;   0
1932-04-01;--:--;    524.000;   -999.000;   0
1932-05-01;--:--;    518.000;   -999.000;   0
1932-06-01;--:--;    763.000;   -999.000;   0
1932-07-01;--:--;   1892.000;   -999.000;   0
1932-08-01;--:--;   7541.000;   -999.000;   0
1932-09-01;--:--;   8912.000;   -999.000;   0
1932-10-01;--:--;   5936.000;   -999.000;   0
1932-11-01;--:--;   2816.000;   -999.000;   0
1932-12-01;--:--;   1747.000;   -999.000;   0
1933-01-01;--:--;   1568.000;   -999.000;   0
1933-02-01;--:--;   1397.000;   -999.000;   0
1933-03-01;--:--;   1019.000;   -999.000;   0
1933-04-01;--:--;    644.000;   -999.000;   0
1933-05-01;--:--;    657.000;   -999.000;   0
1933-06-01;--:--;    744.000;   -999.000;   0
1933-07-01;--:--;   1422.000;   -999.000;   0
1933-08-01;--:--;   5376.000;   -999.000;   0
1933-09-01;--:--;   8796.000;   -999.000;   0
1933-10-01;--:--;   5637.000;   -999.000;   0
1933-11-01;--:--;   3352.000;   -999.000;   0
1933-12-01;--:--;   2113.000;   -999.000;   0
1934-01-01;--:--;   1564.000;   -999.000;   0
1934-02-01;--:--;   1120.000;   -999.000;   0
1934-03-01;--:--;    750.000;   -999.000;   0
1934-04-01;--:--;    644.000;   -999.000;   0
1934-05-01;--:--;    619.000;   -999.000;   0
1934-06-01;--:--;    702.000;   -999.000;   0
1934-07-01;--:--;   2837.000;   -999.000;   0
1934-08-01;--:--;   8251.000;   -999.000;   0
1934-09-01;--:--;   9413.000;   -999.000;   0
1934-10-01;--:--;   6160.000;   -999.000;   0
1934-11-01;--:--;   2854.000;   -999.000;   0
1934-12-01;--:--;   1874.000;   -999.000;   0
1935-01-01;--:--;   1568.000;   -999.000;   0
1935-02-01;--:--;   1178.000;   -999.000;   0
1935-03-01;--:--;    798.000;   -999.000;   0
1935-04-01;--:--;    655.000;   -999.000;   0
1935-05-01;--:--;    686.000;   -999.000;   0
1935-06-01;--:--;   1033.000;   -999.000;   0
1935-07-01;--:--;   2986.000;   -999.000;   0
1935-08-01;--:--;   8549.000;   -999.000;   0
1935-09-01;--:--;   9336.000;   -999.000;   0
1935-10-01;--:--;   6421.000;   -999.000;   0
1935-11-01;--:--;   2901.000;   -999.000;   0
1935-12-01;--:--;   1848.000;   -999.000;   0
1936-01-01;--:--;   1474.000;   -999.000;   0
1936-02-01;--:--;   1053.000;   -999.000;   0
1936-03-01;--:--;    832.000;   -999.000;   0
1936-04-01;--:--;    682.000;   -999.000;   0
1936-05-01;--:--;    645.000;   -999.000;   0
1936-06-01;--:--;    694.000;   -999.000;   0
1936-07-01;--:--;   2326.000;   -999.000;   0
1936-08-01;--:--;   7467.000;   -999.000;   0
1936-09-01;--:--;   9837.000;   -999.000;   0
1936-10-01;--:--;   5824.000;   -999.000;   0
1936-11-01;--:--;   2658.000;   -999.000;   0
1936-12-01;--:--;   1568.000;   -999.000;   0
1937-01-01;--:--;   1183.000;   -999.000;   0
1937-02-01;--:--;    785.000;   -999.000;   0
1937-03-01;--:--;    616.000;   -999.000;   0
1937-04-01;--:--;    559.000;   -999.000;   0
1937-05-01;--:--;    522.000;   -999.000;   0
1937-06-01;--:--;    694.000;   -999.000;   0
1937-07-01;--:--;   1807.000;   -999.000;   0
1937-08-01;--:--;   8064.000;   -999.000;   0
1937-09-01;--:--;   9182.000;   -999.000;   0
1937-10-01;--:--;   5040.000;   -999.000;   0
1937-11-01;--:--;   2233.000;   -999.000;   0
1937-12-01;--:--;   1609.000;   -999.000;   0
1938-01-01;--:--;   1250.000;   -999.000;   0
1938-02-01;--:--;    863.000;   -999.000;   0
1938-03-01;--:--;    825.000;   -999.000;   0
1938-04-01;--:--;    644.000;   -999.000;   0
1938-05-01;--:--;    548.000;   -999.000;   0
1938-06-01;--:--;    617.000;   -999.000;   0
1938-07-01;--:--;   1687.000;   -999.000;   0
1938-08-01;--:--;   8885.000;   -999.000;   0
1938-09-01;--:--;  10416.000;   -999.000;   0
1938-10-01;--:--;   7392.000;   -999.000;   0
1938-11-01;--:--;   3414.000;   -999.000;   0
1938-12-01;--:--;   1963.000;   -999.000;   0
1939-01-01;--:--;   1538.000;   -999.000;   0
1939-02-01;--:--;   1306.000;   -999.000;   0
1939-03-01;--:--;    873.000;   -999.000;   0
1939-04-01;--:--;    825.000;   -999.000;   0
1939-05-01;--:--;    828.000;   -999.000;   0
1939-06-01;--:--;    837.000;   -999.000;   0
1939-07-01;--:--;   1579.000;   -999.000;   0
1939-08-01;--:--;   5227.000;   -999.000;   0
1939-09-01;--:--;   7098.000;   -999.000;   0
1939-10-01;--:--;   4629.000;   -999.000;   0
