# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2022-05-02
#
# GRDC-No.:              1662200
# River:                 NILE RIVER
# Station:               HUDEIBA + HASSANAB
# Country:               --
# Latitude (DD):       17.65
# Longitude (DD):      33.65
# Catchment area (km²):      
# Altitude (m ASL):        -999.00
# Next downstream station:      -
# Remarks:               
# Owner of original data: United Kingdom - Centre for Ecology and Hydrology (CEH) Wallingford
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1908 - 1982
# No. of years:          75
# Last update:           2018-07-02
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 893
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1908-08-01;--:--;   7546.296;   -999.000;   0
1908-09-01;--:--;   8784.722;   -999.000;   0
1908-10-01;--:--;   6215.278;   -999.000;   0
1908-11-01;--:--;   3449.074;   -999.000;   0
1908-12-01;--:--;   2395.833;   -999.000;   0
1909-01-01;--:--;   1898.148;   -999.000;   0
1909-02-01;--:--;   1574.074;   -999.000;   0
1909-03-01;--:--;   1076.389;   -999.000;   0
1909-04-01;--:--;   1006.944;   -999.000;   0
1909-05-01;--:--;   1215.278;   -999.000;   0
1909-06-01;--:--;   2002.315;   -999.000;   0
1909-07-01;--:--;   4606.481;   -999.000;   0
1909-08-01;--:--;   8229.167;   -999.000;   0
1909-09-01;--:--;   9178.241;   -999.000;   0
1909-10-01;--:--;   6898.148;   -999.000;   0
1909-11-01;--:--;   3645.833;   -999.000;   0
1909-12-01;--:--;   2604.167;   -999.000;   0
1910-01-01;--:--;   2083.333;   -999.000;   0
1910-02-01;--:--;   1805.556;   -999.000;   0
1910-03-01;--:--;   1238.426;   -999.000;   0
1910-04-01;--:--;    937.500;   -999.000;   0
1910-05-01;--:--;    868.056;   -999.000;   0
1910-06-01;--:--;   1203.704;   -999.000;   0
1910-07-01;--:--;   2314.815;   -999.000;   0
1910-08-01;--:--;   6574.074;   -999.000;   0
1910-09-01;--:--;   8368.056;   -999.000;   0
1910-10-01;--:--;   6875.000;   -999.000;   0
1910-11-01;--:--;   3715.278;   -999.000;   0
1910-12-01;--:--;   2418.981;   -999.000;   0
1911-01-01;--:--;   1967.593;   -999.000;   0
1911-02-01;--:--;   1516.204;   -999.000;   0
1911-03-01;--:--;   1111.111;   -999.000;   0
1911-04-01;--:--;    925.926;   -999.000;   0
1911-05-01;--:--;   1006.944;   -999.000;   0
1911-06-01;--:--;   1238.426;   -999.000;   0
1911-07-01;--:--;   2523.148;   -999.000;   0
1911-08-01;--:--;   6261.574;   -999.000;   0
1911-09-01;--:--;   8240.741;   -999.000;   0
1911-10-01;--:--;   5092.593;   -999.000;   0
1911-11-01;--:--;   3171.296;   -999.000;   0
1911-12-01;--:--;   2453.704;   -999.000;   0
1912-01-01;--:--;   1620.370;   -999.000;   0
1912-02-01;--:--;   1180.556;   -999.000;   0
1912-03-01;--:--;    914.352;   -999.000;   0
1912-04-01;--:--;    763.889;   -999.000;   0
1912-05-01;--:--;    682.870;   -999.000;   0
1912-06-01;--:--;    868.056;   -999.000;   0
1912-07-01;--:--;   2534.722;   -999.000;   0
1912-08-01;--:--;   6886.574;   -999.000;   0
1912-09-01;--:--;   6423.611;   -999.000;   0
1912-10-01;--:--;   3692.130;   -999.000;   0
1912-11-01;--:--;   2418.981;   -999.000;   0
1912-12-01;--:--;   1793.981;   -999.000;   0
1913-01-01;--:--;   1377.315;   -999.000;   0
1913-02-01;--:--;    983.796;   -999.000;   0
1913-03-01;--:--;    787.037;   -999.000;   0
1913-04-01;--:--;    717.593;   -999.000;   0
1913-05-01;--:--;    682.870;   -999.000;   0
1913-06-01;--:--;    717.593;   -999.000;   0
1913-07-01;--:--;    995.370;   -999.000;   0
1913-08-01;--:--;   2997.685;   -999.000;   0
1913-09-01;--:--;   4039.352;   -999.000;   0
1913-10-01;--:--;   2106.481;   -999.000;   0
1913-11-01;--:--;   1296.296;   -999.000;   0
1913-12-01;--:--;    891.204;   -999.000;   0
1914-01-01;--:--;    636.574;   -999.000;   0
1914-02-01;--:--;    439.815;   -999.000;   0
1914-03-01;--:--;    393.519;   -999.000;   0
1914-04-01;--:--;    370.370;   -999.000;   0
1914-05-01;--:--;    416.667;   -999.000;   0
1914-06-01;--:--;    567.130;   -999.000;   0
1914-07-01;--:--;   1724.537;   -999.000;   0
1914-08-01;--:--;   6400.463;   -999.000;   0
1914-09-01;--:--;   6284.722;   -999.000;   0
1914-10-01;--:--;   5497.685;   -999.000;   0
1914-11-01;--:--;   2812.500;   -999.000;   0
1914-12-01;--:--;   1909.722;   -999.000;   0
1915-01-01;--:--;   1527.778;   -999.000;   0
1915-02-01;--:--;   1157.407;   -999.000;   0
1915-03-01;--:--;    752.315;   -999.000;   0
1915-04-01;--:--;    590.278;   -999.000;   0
1915-05-01;--:--;    636.574;   -999.000;   0
1915-06-01;--:--;    868.056;   -999.000;   0
1915-07-01;--:--;   1666.667;   -999.000;   0
1915-08-01;--:--;   4166.667;   -999.000;   0
1915-09-01;--:--;   5428.241;   -999.000;   0
1915-10-01;--:--;   4571.759;   -999.000;   0
1915-11-01;--:--;   2569.444;   -999.000;   0
1915-12-01;--:--;   1666.667;   -999.000;   0
1916-01-01;--:--;   1226.852;   -999.000;   0
1916-02-01;--:--;    798.611;   -999.000;   0
1916-03-01;--:--;    567.130;   -999.000;   0
1916-04-01;--:--;    439.815;   -999.000;   0
1916-05-01;--:--;    462.963;   -999.000;   0
1916-06-01;--:--;    775.463;   -999.000;   0
1916-07-01;--:--;   2673.611;   -999.000;   0
1916-08-01;--:--;   7106.481;   -999.000;   0
1916-09-01;--:--;   8298.611;   -999.000;   0
1916-10-01;--:--;   7025.463;   -999.000;   0
1916-11-01;--:--;   3877.315;   -999.000;   0
1916-12-01;--:--;   2314.815;   -999.000;   0
1917-01-01;--:--;   1759.259;   -999.000;   0
1917-02-01;--:--;   1493.056;   -999.000;   0
1917-03-01;--:--;   1180.556;   -999.000;   0
1917-04-01;--:--;    729.167;   -999.000;   0
1917-05-01;--:--;    625.000;   -999.000;   0
1917-06-01;--:--;    983.796;   -999.000;   0
1917-07-01;--:--;   2870.370;   -999.000;   0
1917-08-01;--:--;   6793.981;   -999.000;   0
1917-09-01;--:--;   8923.611;   -999.000;   0
1917-10-01;--:--;   7048.611;   -999.000;   0
1917-11-01;--:--;   3472.222;   -999.000;   0
1917-12-01;--:--;   2233.796;   -999.000;   0
1918-01-01;--:--;   1793.981;   -999.000;   0
1918-02-01;--:--;   1562.500;   -999.000;   0
1918-03-01;--:--;   1516.204;   -999.000;   0
1918-04-01;--:--;   1539.352;   -999.000;   0
1918-05-01;--:--;   1331.019;   -999.000;   0
1918-06-01;--:--;   1331.019;   -999.000;   0
1918-07-01;--:--;   2696.759;   -999.000;   0
1918-08-01;--:--;   5173.611;   -999.000;   0
1918-09-01;--:--;   5613.426;   -999.000;   0
1918-10-01;--:--;   3321.759;   -999.000;   0
1918-11-01;--:--;   2013.889;   -999.000;   0
1918-12-01;--:--;   1481.481;   -999.000;   0
1919-01-01;--:--;   1041.667;   -999.000;   0
1919-02-01;--:--;    798.611;   -999.000;   0
1919-03-01;--:--;    648.148;   -999.000;   0
1919-04-01;--:--;    543.981;   -999.000;   0
1919-05-01;--:--;    474.537;   -999.000;   0
1919-06-01;--:--;    810.185;   -999.000;   0
1919-07-01;--:--;   2430.556;   -999.000;   0
1919-08-01;--:--;   6018.519;   -999.000;   0
1919-09-01;--:--;   7268.519;   -999.000;   0
1919-10-01;--:--;   3449.074;   -999.000;   0
1919-11-01;--:--;   1932.870;   -999.000;   0
1919-12-01;--:--;   1435.185;   -999.000;   0
1920-01-01;--:--;    960.648;   -999.000;   0
1920-02-01;--:--;    648.148;   -999.000;   0
1920-03-01;--:--;    543.981;   -999.000;   0
1920-04-01;--:--;    451.389;   -999.000;   0
1920-05-01;--:--;    416.667;   -999.000;   0
1920-06-01;--:--;   1053.241;   -999.000;   0
1920-07-01;--:--;   2731.481;   -999.000;   0
1920-08-01;--:--;   6099.537;   -999.000;   0
1920-09-01;--:--;   5509.259;   -999.000;   0
1920-10-01;--:--;   4675.926;   -999.000;   0
1920-11-01;--:--;   2581.019;   -999.000;   0
1920-12-01;--:--;   1620.370;   -999.000;   0
1921-01-01;--:--;   1215.278;   -999.000;   0
1921-02-01;--:--;    879.630;   -999.000;   0
1921-03-01;--:--;    567.130;   -999.000;   0
1921-04-01;--:--;    393.519;   -999.000;   0
1921-05-01;--:--;    405.093;   -999.000;   0
1921-06-01;--:--;    729.167;   -999.000;   0
1921-07-01;--:--;   1701.389;   -999.000;   0
1921-08-01;--:--;   5694.444;   -999.000;   0
1921-09-01;--:--;   6967.593;   -999.000;   0
1921-10-01;--:--;   4502.315;   -999.000;   0
1921-11-01;--:--;   2175.926;   -999.000;   0
1921-12-01;--:--;   1504.630;   -999.000;   0
1922-01-01;--:--;   1111.111;   -999.000;   0
1922-02-01;--:--;    740.741;   -999.000;   0
1922-03-01;--:--;    474.537;   -999.000;   0
1922-04-01;--:--;    335.648;   -999.000;   0
1922-05-01;--:--;    324.074;   -999.000;   0
1922-06-01;--:--;    659.722;   -999.000;   0
1922-07-01;--:--;   1944.444;   -999.000;   0
1922-08-01;--:--;   6504.630;   -999.000;   0
1922-09-01;--:--;   7118.056;   -999.000;   0
1922-10-01;--:--;   4942.130;   -999.000;   0
1922-11-01;--:--;   2361.111;   -999.000;   0
1922-12-01;--:--;   1550.926;   -999.000;   0
1923-01-01;--:--;   1192.130;   -999.000;   0
1923-02-01;--:--;    763.889;   -999.000;   0
1923-03-01;--:--;    567.130;   -999.000;   0
1923-04-01;--:--;    567.130;   -999.000;   0
1923-05-01;--:--;    601.852;   -999.000;   0
1923-06-01;--:--;   1250.000;   -999.000;   0
1923-07-01;--:--;   2534.722;   -999.000;   0
1923-08-01;--:--;   7094.907;   -999.000;   0
1923-09-01;--:--;   7106.481;   -999.000;   0
1923-10-01;--:--;   4722.222;   -999.000;   0
1923-11-01;--:--;   2291.667;   -999.000;   0
1923-12-01;--:--;   1689.815;   -999.000;   0
1924-01-01;--:--;   1354.167;   -999.000;   0
1924-02-01;--:--;    914.352;   -999.000;   0
1924-03-01;--:--;    659.722;   -999.000;   0
1924-04-01;--:--;    601.852;   -999.000;   0
1924-05-01;--:--;    671.296;   -999.000;   0
1924-06-01;--:--;    868.056;   -999.000;   0
1924-07-01;--:--;   2488.426;   -999.000;   0
1924-08-01;--:--;   6122.685;   -999.000;   0
1924-09-01;--:--;   7071.759;   -999.000;   0
1924-10-01;--:--;   4444.444;   -999.000;   0
1924-11-01;--:--;   2708.333;   -999.000;   0
1924-12-01;--:--;   1736.111;   -999.000;   0
1925-01-01;--:--;   1284.722;   -999.000;   0
1925-02-01;--:--;    844.907;   -999.000;   0
1925-03-01;--:--;    625.000;   -999.000;   0
1925-04-01;--:--;    532.407;   -999.000;   0
1925-05-01;--:--;    613.426;   -999.000;   0
1925-06-01;--:--;    937.500;   -999.000;   0
1925-07-01;--:--;   2013.889;   -999.000;   0
1925-08-01;--:--;   5393.519;   -999.000;   0
1925-09-01;--:--;   4988.426;   -999.000;   0
1925-10-01;--:--;   3460.648;   -999.000;   0
1925-11-01;--:--;   1979.167;   -999.000;   0
1925-12-01;--:--;   1516.204;   -999.000;   0
1926-01-01;--:--;   1099.537;   -999.000;   0
1926-02-01;--:--;    752.315;   -999.000;   0
1926-03-01;--:--;    625.000;   -999.000;   0
1926-04-01;--:--;    601.852;   -999.000;   0
1926-05-01;--:--;    763.889;   -999.000;   0
1926-06-01;--:--;   1307.870;   -999.000;   0
1926-07-01;--:--;   2233.796;   -999.000;   0
1926-08-01;--:--;   7060.185;   -999.000;   0
1926-09-01;--:--;   7094.907;   -999.000;   0
1926-10-01;--:--;   4456.019;   -999.000;   0
1926-11-01;--:--;   2314.815;   -999.000;   0
1926-12-01;--:--;   1620.370;   -999.000;   0
1927-01-01;--:--;   1319.444;   -999.000;   0
1927-02-01;--:--;    983.796;   -999.000;   0
1927-03-01;--:--;    694.444;   -999.000;   0
1927-04-01;--:--;    625.000;   -999.000;   0
1927-05-01;--:--;    601.852;   -999.000;   0
1927-06-01;--:--;    833.333;   -999.000;   0
1927-07-01;--:--;   1979.167;   -999.000;   0
1927-08-01;--:--;   5694.444;   -999.000;   0
1927-09-01;--:--;   5451.389;   -999.000;   0
