# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2022-05-02
#
# GRDC-No.:              1662500
# River:                 NILE RIVER
# Station:               TAMANIAT
# Country:               --
# Latitude (DD):       15.95
# Longitude (DD):      32.63
# Catchment area (km²):      
# Altitude (m ASL):        -999.00
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1911 - 1982
# No. of years:          72
# Last update:           2018-07-02
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 864
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1911-01-01;--:--;   1701.389;   -999.000;   0
1911-02-01;--:--;   1250.000;   -999.000;   0
1911-03-01;--:--;    821.759;   -999.000;   0
1911-04-01;--:--;    671.296;   -999.000;   0
1911-05-01;--:--;    775.463;   -999.000;   0
1911-06-01;--:--;   1030.093;   -999.000;   0
1911-07-01;--:--;   2407.407;   -999.000;   0
1911-08-01;--:--;   6111.111;   -999.000;   0
1911-09-01;--:--;   7800.926;   -999.000;   0
1911-10-01;--:--;   4421.296;   -999.000;   0
1911-11-01;--:--;   2615.741;   -999.000;   0
1911-12-01;--:--;   1840.278;   -999.000;   0
1912-01-01;--:--;   1238.426;   -999.000;   0
1912-02-01;--:--;    902.778;   -999.000;   0
1912-03-01;--:--;    682.870;   -999.000;   0
1912-04-01;--:--;    555.556;   -999.000;   0
1912-05-01;--:--;    509.259;   -999.000;   0
1912-06-01;--:--;    775.463;   -999.000;   0
1912-07-01;--:--;   2430.556;   -999.000;   0
1912-08-01;--:--;   6273.148;   -999.000;   0
1912-09-01;--:--;   5694.444;   -999.000;   0
1912-10-01;--:--;   2916.667;   -999.000;   0
1912-11-01;--:--;   1944.444;   -999.000;   0
1912-12-01;--:--;   1458.333;   -999.000;   0
1913-01-01;--:--;   1111.111;   -999.000;   0
1913-02-01;--:--;    752.315;   -999.000;   0
1913-03-01;--:--;    613.426;   -999.000;   0
1913-04-01;--:--;    543.981;   -999.000;   0
1913-05-01;--:--;    694.444;   -999.000;   0
1913-06-01;--:--;    798.611;   -999.000;   0
1913-07-01;--:--;   1226.852;   -999.000;   0
1913-08-01;--:--;   3263.889;   -999.000;   0
1913-09-01;--:--;   4189.815;   -999.000;   0
1913-10-01;--:--;   2129.630;   -999.000;   0
1913-11-01;--:--;   1342.593;   -999.000;   0
1913-12-01;--:--;    891.204;   -999.000;   0
1914-01-01;--:--;    636.574;   -999.000;   0
1914-02-01;--:--;    532.407;   -999.000;   0
1914-03-01;--:--;    486.111;   -999.000;   0
1914-04-01;--:--;    474.537;   -999.000;   0
1914-05-01;--:--;    532.407;   -999.000;   0
1914-06-01;--:--;    706.019;   -999.000;   0
1914-07-01;--:--;   2222.222;   -999.000;   0
1914-08-01;--:--;   7511.574;   -999.000;   0
1914-09-01;--:--;   6736.111;   -999.000;   0
1914-10-01;--:--;   5543.981;   -999.000;   0
1914-11-01;--:--;   3541.667;   -999.000;   0
1914-12-01;--:--;   2060.185;   -999.000;   0
1915-01-01;--:--;   1585.648;   -999.000;   0
1915-02-01;--:--;   1168.981;   -999.000;   0
1915-03-01;--:--;    787.037;   -999.000;   0
1915-04-01;--:--;    567.130;   -999.000;   0
1915-05-01;--:--;    682.870;   -999.000;   0
1915-06-01;--:--;   1018.519;   -999.000;   0
1915-07-01;--:--;   1851.852;   -999.000;   0
1915-08-01;--:--;   3738.426;   -999.000;   0
1915-09-01;--:--;   4953.704;   -999.000;   0
1915-10-01;--:--;   4120.370;   -999.000;   0
1915-11-01;--:--;   2418.981;   -999.000;   0
1915-12-01;--:--;   1712.963;   -999.000;   0
1916-01-01;--:--;   1250.000;   -999.000;   0
1916-02-01;--:--;    856.481;   -999.000;   0
1916-03-01;--:--;    636.574;   -999.000;   0
1916-04-01;--:--;    578.704;   -999.000;   0
1916-05-01;--:--;    601.852;   -999.000;   0
1916-06-01;--:--;    949.074;   -999.000;   0
1916-07-01;--:--;   3148.148;   -999.000;   0
1916-08-01;--:--;   8148.148;   -999.000;   0
1916-09-01;--:--;   9166.667;   -999.000;   0
1916-10-01;--:--;   7662.037;   -999.000;   0
1916-11-01;--:--;   3981.481;   -999.000;   0
1916-12-01;--:--;   2407.407;   -999.000;   0
1917-01-01;--:--;   1840.278;   -999.000;   0
1917-02-01;--:--;   1689.815;   -999.000;   0
1917-03-01;--:--;   1261.574;   -999.000;   0
1917-04-01;--:--;    821.759;   -999.000;   0
1917-05-01;--:--;    787.037;   -999.000;   0
1917-06-01;--:--;   1122.685;   -999.000;   0
1917-07-01;--:--;   3090.278;   -999.000;   0
1917-08-01;--:--;   6747.685;   -999.000;   0
1917-09-01;--:--;   9803.241;   -999.000;   0
1917-10-01;--:--;   7835.648;   -999.000;   0
1917-11-01;--:--;   3460.648;   -999.000;   0
1917-12-01;--:--;   2314.815;   -999.000;   0
1918-01-01;--:--;   1886.574;   -999.000;   0
1918-02-01;--:--;   1620.370;   -999.000;   0
1918-03-01;--:--;   1527.778;   -999.000;   0
1918-04-01;--:--;   1689.815;   -999.000;   0
1918-05-01;--:--;   1678.241;   -999.000;   0
1918-06-01;--:--;   1736.111;   -999.000;   0
1918-07-01;--:--;   2905.093;   -999.000;   0
1918-08-01;--:--;   5532.407;   -999.000;   0
1918-09-01;--:--;   6377.315;   -999.000;   0
1918-10-01;--:--;   3622.685;   -999.000;   0
1918-11-01;--:--;   2245.370;   -999.000;   0
1918-12-01;--:--;   1643.519;   -999.000;   0
1919-01-01;--:--;   1203.704;   -999.000;   0
1919-02-01;--:--;    937.500;   -999.000;   0
1919-03-01;--:--;    787.037;   -999.000;   0
1919-04-01;--:--;    659.722;   -999.000;   0
1919-05-01;--:--;    636.574;   -999.000;   0
1919-06-01;--:--;   1168.981;   -999.000;   0
1919-07-01;--:--;   2847.222;   -999.000;   0
1919-08-01;--:--;   6678.241;   -999.000;   0
1919-09-01;--:--;   6539.352;   -999.000;   0
1919-10-01;--:--;   3657.407;   -999.000;   0
1919-11-01;--:--;   1967.593;   -999.000;   0
1919-12-01;--:--;   1400.463;   -999.000;   0
1920-01-01;--:--;   1006.944;   -999.000;   0
1920-02-01;--:--;    752.315;   -999.000;   0
1920-03-01;--:--;    648.148;   -999.000;   0
1920-04-01;--:--;    543.981;   -999.000;   0
1920-05-01;--:--;    532.407;   -999.000;   0
1920-06-01;--:--;   1215.278;   -999.000;   0
1920-07-01;--:--;   2951.389;   -999.000;   0
1920-08-01;--:--;   5937.500;   -999.000;   0
1920-09-01;--:--;   5879.630;   -999.000;   0
1920-10-01;--:--;   4895.833;   -999.000;   0
1920-11-01;--:--;   2500.000;   -999.000;   0
1920-12-01;--:--;   1712.963;   -999.000;   0
1921-01-01;--:--;   1273.148;   -999.000;   0
1921-02-01;--:--;    833.333;   -999.000;   0
1921-03-01;--:--;    694.444;   -999.000;   0
1921-04-01;--:--;    590.278;   -999.000;   0
1921-05-01;--:--;    555.556;   -999.000;   0
1921-06-01;--:--;    937.500;   -999.000;   0
1921-07-01;--:--;   1898.148;   -999.000;   0
1921-08-01;--:--;   5902.778;   -999.000;   0
1921-09-01;--:--;   6331.019;   -999.000;   0
1921-10-01;--:--;   4282.407;   -999.000;   0
1921-11-01;--:--;   2118.056;   -999.000;   0
1921-12-01;--:--;   1550.926;   -999.000;   0
1922-01-01;--:--;   1099.537;   -999.000;   0
1922-02-01;--:--;    717.593;   -999.000;   0
1922-03-01;--:--;    497.685;   -999.000;   0
1922-04-01;--:--;    370.370;   -999.000;   0
1922-05-01;--:--;    393.519;   -999.000;   0
1922-06-01;--:--;    798.611;   -999.000;   0
1922-07-01;--:--;   2210.648;   -999.000;   0
1922-08-01;--:--;   6747.685;   -999.000;   0
1922-09-01;--:--;   7256.944;   -999.000;   0
1922-10-01;--:--;   5011.574;   -999.000;   0
1922-11-01;--:--;   2303.241;   -999.000;   0
1922-12-01;--:--;   1620.370;   -999.000;   0
1923-01-01;--:--;   1250.000;   -999.000;   0
1923-02-01;--:--;    694.444;   -999.000;   0
1923-03-01;--:--;    416.667;   -999.000;   0
1923-04-01;--:--;    509.259;   -999.000;   0
1923-05-01;--:--;    636.574;   -999.000;   0
1923-06-01;--:--;   1331.019;   -999.000;   0
1923-07-01;--:--;   2731.481;   -999.000;   0
1923-08-01;--:--;   6817.130;   -999.000;   0
1923-09-01;--:--;   6990.741;   -999.000;   0
1923-10-01;--:--;   4062.500;   -999.000;   0
1923-11-01;--:--;   2083.333;   -999.000;   0
1923-12-01;--:--;   1643.519;   -999.000;   0
1924-01-01;--:--;   1238.426;   -999.000;   0
1924-02-01;--:--;    787.037;   -999.000;   0
1924-03-01;--:--;    567.130;   -999.000;   0
1924-04-01;--:--;    601.852;   -999.000;   0
1924-05-01;--:--;    671.296;   -999.000;   0
1924-06-01;--:--;    914.352;   -999.000;   0
1924-07-01;--:--;   2604.167;   -999.000;   0
1924-08-01;--:--;   6203.704;   -999.000;   0
1924-09-01;--:--;   7291.667;   -999.000;   0
1924-10-01;--:--;   3831.019;   -999.000;   0
1924-11-01;--:--;   2488.426;   -999.000;   0
1924-12-01;--:--;   1643.519;   -999.000;   0
1925-01-01;--:--;   1261.574;   -999.000;   0
1925-02-01;--:--;    821.759;   -999.000;   0
1925-03-01;--:--;    601.852;   -999.000;   0
1925-04-01;--:--;    497.685;   -999.000;   0
1925-05-01;--:--;    625.000;   -999.000;   0
1925-06-01;--:--;   1099.537;   -999.000;   0
1925-07-01;--:--;   2175.926;   -999.000;   0
1925-08-01;--:--;   5393.519;   -999.000;   0
1925-09-01;--:--;   5115.741;   -999.000;   0
1925-10-01;--:--;   3472.222;   -999.000;   0
1925-11-01;--:--;   1875.000;   -999.000;   0
1925-12-01;--:--;   1412.037;   -999.000;   0
1926-01-01;--:--;   1041.667;   -999.000;   0
1926-02-01;--:--;    706.019;   -999.000;   0
1926-03-01;--:--;    636.574;   -999.000;   0
1926-04-01;--:--;    625.000;   -999.000;   0
1926-05-01;--:--;    833.333;   -999.000;   0
1926-06-01;--:--;   1284.722;   -999.000;   0
1926-07-01;--:--;   2395.833;   -999.000;   0
1926-08-01;--:--;   7002.315;   -999.000;   0
1926-09-01;--:--;   6736.111;   -999.000;   0
1926-10-01;--:--;   4224.537;   -999.000;   0
1926-11-01;--:--;   2245.370;   -999.000;   0
1926-12-01;--:--;   1678.241;   -999.000;   0
1927-01-01;--:--;   1342.593;   -999.000;   0
1927-02-01;--:--;    960.648;   -999.000;   0
1927-03-01;--:--;    706.019;   -999.000;   0
1927-04-01;--:--;    648.148;   -999.000;   0
1927-05-01;--:--;    625.000;   -999.000;   0
1927-06-01;--:--;    960.648;   -999.000;   0
1927-07-01;--:--;   2407.407;   -999.000;   0
1927-08-01;--:--;   6087.963;   -999.000;   0
1927-09-01;--:--;   5555.556;   -999.000;   0
1927-10-01;--:--;   3622.685;   -999.000;   0
1927-11-01;--:--;   1678.241;   -999.000;   0
1927-12-01;--:--;   1226.852;   -999.000;   0
1928-01-01;--:--;    771.991;   -999.000;   0
1928-02-01;--:--;    600.694;   -999.000;   0
1928-03-01;--:--;    567.130;   -999.000;   0
1928-04-01;--:--;    644.676;   -999.000;   0
1928-05-01;--:--;    991.898;   -999.000;   0
1928-06-01;--:--;   1307.870;   -999.000;   0
1928-07-01;--:--;   3530.093;   -999.000;   0
1928-08-01;--:--;   6782.407;   -999.000;   0
1928-09-01;--:--;   6550.926;   -999.000;   0
1928-10-01;--:--;   3622.685;   -999.000;   0
1928-11-01;--:--;   1967.593;   -999.000;   0
1928-12-01;--:--;   1539.352;   -999.000;   0
1929-01-01;--:--;   1140.046;   -999.000;   0
1929-02-01;--:--;    781.250;   -999.000;   0
1929-03-01;--:--;    634.259;   -999.000;   0
1929-04-01;--:--;    613.426;   -999.000;   0
1929-05-01;--:--;   1112.269;   -999.000;   0
1929-06-01;--:--;   2129.630;   -999.000;   0
1929-07-01;--:--;   4398.148;   -999.000;   0
1929-08-01;--:--;   7523.148;   -999.000;   0
1929-09-01;--:--;   8171.296;   -999.000;   0
1929-10-01;--:--;   5694.444;   -999.000;   0
1929-11-01;--:--;   2557.870;   -999.000;   0
1929-12-01;--:--;   1724.537;   -999.000;   0
1930-01-01;--:--;   1365.741;   -999.000;   0
1930-02-01;--:--;    962.963;   -999.000;   0
1930-03-01;--:--;    753.472;   -999.000;   0
1930-04-01;--:--;    674.769;   -999.000;   0
1930-05-01;--:--;    778.935;   -999.000;   0
1930-06-01;--:--;   1091.435;   -999.000;   0
1930-07-01;--:--;   2847.222;   -999.000;   0
1930-08-01;--:--;   7060.185;   -999.000;   0
1930-09-01;--:--;   6608.796;   -999.000;   0
1930-10-01;--:--;   3067.130;   -999.000;   0
1930-11-01;--:--;   1585.648;   -999.000;   0
1930-12-01;--:--;   1192.130;   -999.000;   0
1931-01-01;--:--;    792.824;   -999.000;   0
1931-02-01;--:--;    604.167;   -999.000;   0
1931-03-01;--:--;    526.620;   -999.000;   0
1931-04-01;--:--;    520.833;   -999.000;   0
1931-05-01;--:--;    483.796;   -999.000;   0
1931-06-01;--:--;    827.546;   -999.000;   0
1931-07-01;--:--;   2083.333;   -999.000;   0
1931-08-01;--:--;   6157.407;   -999.000;   0
1931-09-01;--:--;   7071.759;   -999.000;   0
1931-10-01;--:--;   4317.130;   -999.000;   0
1931-11-01;--:--;   2106.481;   -999.000;   0
1931-12-01;--:--;   1458.333;   -999.000;   0
1932-01-01;--:--;   1039.352;   -999.000;   0
1932-02-01;--:--;    680.556;   -999.000;   0
1932-03-01;--:--;    599.537;   -999.000;   0
1932-04-01;--:--;    535.880;   -999.000;   0
1932-05-01;--:--;    650.463;   -999.000;   0
1932-06-01;--:--;   1112.269;   -999.000;   0
1932-07-01;--:--;   2337.963;   -999.000;   0
1932-08-01;--:--;   6458.333;   -999.000;   0
1932-09-01;--:--;   6932.870;   -999.000;   0
1932-10-01;--:--;   4375.000;   -999.000;   0
1932-11-01;--:--;   2129.630;   -999.000;   0
1932-12-01;--:--;   1643.519;   -999.000;   0
1933-01-01;--:--;   1516.204;   -999.000;   0
1933-02-01;--:--;   1307.870;   -999.000;   0
1933-03-01;--:--;    858.796;   -999.000;   0
1933-04-01;--:--;    716.435;   -999.000;   0
1933-05-01;--:--;    767.361;   -999.000;   0
1933-06-01;--:--;   1025.463;   -999.000;   0
1933-07-01;--:--;   1851.852;   -999.000;   0
1933-08-01;--:--;   5439.815;   -999.000;   0
1933-09-01;--:--;   6863.426;   -999.000;   0
1933-10-01;--:--;   4629.630;   -999.000;   0
1933-11-01;--:--;   2546.296;   -999.000;   0
1933-12-01;--:--;   1840.278;   -999.000;   0
1934-01-01;--:--;   1388.889;   -999.000;   0
1934-02-01;--:--;    901.620;   -999.000;   0
1934-03-01;--:--;    707.176;   -999.000;   0
1934-04-01;--:--;    662.037;   -999.000;   0
1934-05-01;--:--;    740.741;   -999.000;   0
1934-06-01;--:--;   1091.435;   -999.000;   0
1934-07-01;--:--;   3055.556;   -999.000;   0
1934-08-01;--:--;   7002.315;   -999.000;   0
1934-09-01;--:--;   7141.204;   -999.000;   0
1934-10-01;--:--;   4537.037;   -999.000;   0
1934-11-01;--:--;   2256.944;   -999.000;   0
1934-12-01;--:--;   1724.537;   -999.000;   0
1935-01-01;--:--;   1412.037;   -999.000;   0
1935-02-01;--:--;   1001.157;   -999.000;   0
1935-03-01;--:--;    738.426;   -999.000;   0
1935-04-01;--:--;    708.333;   -999.000;   0
1935-05-01;--:--;    810.185;   -999.000;   0
1935-06-01;--:--;   1446.759;   -999.000;   0
1935-07-01;--:--;   3819.444;   -999.000;   0
1935-08-01;--:--;   7453.704;   -999.000;   0
1935-09-01;--:--;   7731.481;   -999.000;   0
1935-10-01;--:--;   5173.611;   -999.000;   0
1935-11-01;--:--;   2291.667;   -999.000;   0
1935-12-01;--:--;   1620.370;   -999.000;   0
1936-01-01;--:--;   1250.000;   -999.000;   0
1936-02-01;--:--;    920.139;   -999.000;   0
1936-03-01;--:--;    806.713;   -999.000;   0
1936-04-01;--:--;    671.296;   -999.000;   0
1936-05-01;--:--;    687.500;   -999.000;   0
1936-06-01;--:--;    943.287;   -999.000;   0
1936-07-01;--:--;   2974.537;   -999.000;   0
1936-08-01;--:--;   6736.111;   -999.000;   0
1936-09-01;--:--;   7754.630;   -999.000;   0
1936-10-01;--:--;   4270.833;   -999.000;   0
1936-11-01;--:--;   2002.315;   -999.000;   0
1936-12-01;--:--;   1412.037;   -999.000;   0
1937-01-01;--:--;    984.954;   -999.000;   0
1937-02-01;--:--;    709.491;   -999.000;   0
1937-03-01;--:--;    660.880;   -999.000;   0
1937-04-01;--:--;    584.491;   -999.000;   0
1937-05-01;--:--;    637.731;   -999.000;   0
1937-06-01;--:--;    996.528;   -999.000;   0
1937-07-01;--:--;   2789.352;   -999.000;   0
1937-08-01;--:--;   6840.278;   -999.000;   0
1937-09-01;--:--;   6932.870;   -999.000;   0
1937-10-01;--:--;   3379.630;   -999.000;   0
1937-11-01;--:--;   1793.981;   -999.000;   0
1937-12-01;--:--;   1423.611;   -999.000;   0
1938-01-01;--:--;   1035.880;   -999.000;   0
1938-02-01;--:--;    861.111;   -999.000;   0
1938-03-01;--:--;    771.991;   -999.000;   0
1938-04-01;--:--;    616.898;   -999.000;   0
1938-05-01;--:--;    599.537;   -999.000;   0
1938-06-01;--:--;    848.380;   -999.000;   0
1938-07-01;--:--;   2893.519;   -999.000;   0
1938-08-01;--:--;   7314.815;   -999.000;   0
1938-09-01;--:--;   8229.167;   -999.000;   0
1938-10-01;--:--;   5694.444;   -999.000;   0
1938-11-01;--:--;   2314.815;   -999.000;   0
1938-12-01;--:--;   1608.796;   -999.000;   0
1939-01-01;--:--;   1296.296;   -999.000;   0
1939-02-01;--:--;   1086.806;   -999.000;   0
1939-03-01;--:--;    812.500;   -999.000;   0
1939-04-01;--:--;    916.667;   -999.000;   0
1939-05-01;--:--;    858.796;   -999.000;   0
1939-06-01;--:--;   1093.750;   -999.000;   0
1939-07-01;--:--;   1956.019;   -999.000;   0
1939-08-01;--:--;   4872.685;   -999.000;   0
1939-09-01;--:--;   5636.574;   -999.000;   0
1939-10-01;--:--;   3599.537;   -999.000;   0
1939-11-01;--:--;   2106.481;   -999.000;   0
1939-12-01;--:--;   1458.333;   -999.000;   0
1940-01-01;--:--;    961.806;   -999.000;   0
1940-02-01;--:--;    959.491;   -999.000;   0
1940-03-01;--:--;    931.713;   -999.000;   0
1940-04-01;--:--;    622.685;   -999.000;   0
1940-05-01;--:--;    606.481;   -999.000;   0
1940-06-01;--:--;    827.546;   -999.000;   0
1940-07-01;--:--;   1539.352;   -999.000;   0
1940-08-01;--:--;   5949.074;   -999.000;   0
1940-09-01;--:--;   5509.259;   -999.000;   0
1940-10-01;--:--;   2627.315;   -999.000;   0
1940-11-01;--:--;   1307.870;   -999.000;   0
1940-12-01;--:--;    961.806;   -999.000;   0
1941-01-01;--:--;    730.324;   -999.000;   0
1941-02-01;--:--;    873.843;   -999.000;   0
1941-03-01;--:--;    814.815;   -999.000;   0
1941-04-01;--:--;    530.093;   -999.000;   0
1941-05-01;--:--;    527.778;   -999.000;   0
1941-06-01;--:--;   1215.278;   -999.000;   0
1941-07-01;--:--;   1979.167;   -999.000;   0
1941-08-01;--:--;   4803.241;   -999.000;   0
1941-09-01;--:--;   4664.352;   -999.000;   0
1941-10-01;--:--;   3738.426;   -999.000;   0
1941-11-01;--:--;   2268.519;   -999.000;   0
1941-12-01;--:--;   1261.574;   -999.000;   0
1942-01-01;--:--;   1020.833;   -999.000;   0
1942-02-01;--:--;    875.000;   -999.000;   0
1942-03-01;--:--;    980.324;   -999.000;   0
1942-04-01;--:--;    936.343;   -999.000;   0
1942-05-01;--:--;    636.574;   -999.000;   0
1942-06-01;--:--;    996.528;   -999.000;   0
1942-07-01;--:--;   2662.037;   -999.000;   0
1942-08-01;--:--;   6782.407;   -999.000;   0
1942-09-01;--:--;   5717.593;   -999.000;   0
1942-10-01;--:--;   4166.667;   -999.000;   0
1942-11-01;--:--;   1678.241;   -999.000;   0
1942-12-01;--:--;   1307.870;   -999.000;   0
1943-01-01;--:--;    861.111;   -999.000;   0
1943-02-01;--:--;    966.435;   -999.000;   0
1943-03-01;--:--;    967.593;   -999.000;   0
1943-04-01;--:--;    818.287;   -999.000;   0
1943-05-01;--:--;    643.519;   -999.000;   0
1943-06-01;--:--;    716.435;   -999.000;   0
1943-07-01;--:--;   1851.852;   -999.000;   0
1943-08-01;--:--;   5740.741;   -999.000;   0
1943-09-01;--:--;   6365.741;   -999.000;   0
1943-10-01;--:--;   3344.907;   -999.000;   0
1943-11-01;--:--;   1712.963;   -999.000;   0
1943-12-01;--:--;   1168.981;   -999.000;   0
1944-01-01;--:--;    752.315;   -999.000;   0
1944-02-01;--:--;   1042.824;   -999.000;   0
1944-03-01;--:--;   1043.981;   -999.000;   0
1944-04-01;--:--;    920.139;   -999.000;   0
1944-05-01;--:--;    721.065;   -999.000;   0
1944-06-01;--:--;   1047.454;   -999.000;   0
1944-07-01;--:--;   2314.815;   -999.000;   0
1944-08-01;--:--;   5543.981;   -999.000;   0
1944-09-01;--:--;   4930.556;   -999.000;   0
1944-10-01;--:--;   2835.648;   -999.000;   0
1944-11-01;--:--;   1493.056;   -999.000;   0
1944-12-01;--:--;   1048.611;   -999.000;   0
1945-01-01;--:--;    746.528;   -999.000;   0
1945-02-01;--:--;    939.815;   -999.000;   0
1945-03-01;--:--;    965.278;   -999.000;   0
