Country=	Sudan
Station=	Kilo3
River=	Atbara
Area=	69000 km2
Lat=	17.7
Lon=	33.97
Source=	RivDIS
PointID=	1522
Area Units=	km2
Discharge Units=	m3/sec
Starting Year=	1912
Ending Year=	1982
Total Years=	71
Total Usable Years=	66

Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Avg Annual
1912	11.2	2	0	0	0	48.6	742	2609	1284	151	52.5	17.2	409.79
1913	12.7	1.24	0	0	0	0	221	877	652	78.4	12.3	1.87	154.71
1914	0	0	0	0	0	3.86	586	2680	1265	384	127	30.6	423.04
1915	9.33	1.24	0	0	0	52.5	320	1142	1060	255	56.3	13.1	242.46
1916	1.87	0	0	0	0	30.5	1926	4928	2484	574	175	64.5	848.66
1917	25.4	4.13	0	0	0	85.3	462	533	2858	451	104	35.5	379.86
1918	13.1	3.72	0	0	1.12	8.49	392	1351	462	145	25.8	2.99	200.44
1919	0	0	0	0	0	38.6	668	1736	1122	170	30.5	0.74	313.82
1920	0	0	0	0	0	84.5	694	2255	1003	344	77.2	16.1	372.82
1921	0	0	0	0	0	19.3	429	2060	1323	289	56.7	4.48	348.46
1922	0	0	0	0	0	16.6	742	2949	2881	373	65.2	635	638.48
1923	0	0	0	0	0	27.8	477	2277	1419	270	53.6	16.18	378.38
1924	4.48	0	0	0	0	24.7	925	2270	1720	288	99.9	21.7	446.15
1925	0	0	0	0	0	18.5	418	1474	779	173	28.5	0	240.92
1926	0	0	0	0	0	0	754	1709	1288	232	54.8	0	336.48
1927	0	0	0	0	0	21.2	601	1624	1060	229	28.9	0	297.01
1928	0	0	0	0	0	66.7	485	1743	906	177	40.5	0	284.85
1929	0	0	0	0	0	91	963	2703	1450	363	63.7	13.4	470.59
1930	0	0	0	0	0	15.8	884	1556	968	167	42.4	7.09	303.36
1931	0	0	3.36	0	0	8.49	395	2060	1369	347	71.8	20.2	356.24
1932	0	0	0	0	0	2.7	720	2362	1682	303	55.9	18.3	428.66
1933	0	0	0	0	0	0	326	1359	1616	371	111	44.4	318.95
1934	2.99	0	0	0	0	128	1056	2770	1273	388	66	24.6	475.72
1935	0	0	0	0	2.24	89.5	545	1881	1871	421	74.1	24.6	409.04
1936	0	0	0	0	0	0	649	2083	1832	302	67.9	23.9	413.15
1937	0	0	0	0	0	3.47	582	2389	1458	291	59.4	17.5	400.03
1938	0	0	0	0	0	0	593	2747	1859	515	100	34.7	487.39
1939	0	0	0	0	0	5.02	474	1482	995	306	73.3	14.6	279.16
1940	0	0	0	0	0	0	399	1754	860	145	30.1	10.5	266.55
