"GRDC-Code"	"Month"	"MinQ"	"MaxQ"	"MeanQ"
1673100	"01"	735.000000	1254.000000	1010.799988
1673100	"02"	624.000000	1101.000000	776.299988
1673100	"03"	705.000000	1015.000000	793.299988
1673100	"04"	1033.000000	1369.000000	1160.599976
1673100	"05"	686.000000	1306.000000	1045.699951
1673100	"06"	659.000000	902.000000	763.400024
1673100	"07"	333.000000	802.000000	569.099976
1673100	"08"	300.000000	1000.000000	535.000000
1673100	"09"	632.000000	995.000000	844.400024
1673100	"10"	937.000000	1295.000000	1120.099976
1673100	"11"	694.000000	1373.000000	1065.199951
1673100	"12"	925.000000	1377.000000	1083.300049
