,epsilon_progress,nfe
0,0,0
1,16,100
2,59,600
3,103,1100
4,112,1600
5,115,2100
6,115,2600
7,115,3100
8,117,3600
9,123,4100
10,131,4600
11,135,5100
12,156,5600
13,188,6100
14,233,6600
15,289,7100
16,314,7600
17,330,8100
18,349,8600
19,357,9100
20,363,9600
21,372,10110
22,440,10630
23,464,11150
24,479,11670
25,483,12190
26,483,12710
27,483,13230
28,483,13750
29,503,14292
30,562,14852
31,594,15412
32,620,15972
33,630,16532
34,632,17092
35,634,17652
36,634,18212
37,634,18772
38,634,19332
39,634,19892
40,634,20452
41,634,21012
42,662,21582
43,733,22128
44,797,22674
45,855,23220
46,914,23766
47,955,24312
48,984,24858
49,990,25404
50,992,25950
51,992,26496
52,992,27042
53,992,27588
54,992,28134
55,992,28680
56,992,29226
57,992,29772
58,992,30318
59,992,30864
60,992,31410
61,992,31956
62,992,32502
63,992,33048
64,992,33594
65,992,34140
66,992,34686
67,992,35232
68,992,35778
69,992,36324
70,992,36870
71,992,37416
72,992,37962
73,992,38508
74,992,39054
75,992,39814
76,1015,40342
77,1055,40870
78,1115,41398
79,1182,41926
80,1248,42454
81,1324,42982
82,1377,43510
83,1446,44038
84,1507,44566
85,1553,45094
86,1602,45622
87,1652,46150
88,1683,46678
89,1715,47206
90,1729,47734
91,1748,48262
92,1767,48790
93,1790,49318
94,1805,49846
