,epsilon_progress,nfe
0,0,0
1,19,100
2,74,600
3,93,1100
4,113,1600
5,132,2100
6,140,2600
7,149,3100
8,160,3600
9,168,4100
10,175,4600
11,182,5100
12,189,5600
13,200,6100
14,208,6600
15,212,7100
16,221,7600
17,228,8100
18,237,8600
19,245,9100
20,251,9600
21,257,10214
22,261,10786
23,268,11358
24,279,11930
25,289,12502
26,293,13074
27,300,13646
28,305,14218
29,312,14790
30,323,15362
31,330,15934
32,337,16506
33,343,17078
34,348,17650
35,356,18222
36,362,18794
37,366,19366
38,368,19938
39,373,20510
40,379,21082
41,384,21654
42,389,22226
43,391,22798
44,396,23370
45,399,23942
46,401,24514
47,406,25086
48,410,25658
49,416,26230
50,417,26802
51,422,27374
52,425,27946
53,426,28518
54,428,29090
55,431,29662
56,435,30234
57,437,30806
58,442,31378
59,448,31950
60,453,32522
61,455,33094
62,459,33666
63,459,34238
64,463,34810
65,465,35382
66,470,35954
67,472,36526
68,472,37098
69,474,37670
70,475,38242
71,475,38814
72,476,39524
73,483,40336
74,490,41148
75,495,41960
76,502,42772
77,514,43584
78,523,44396
79,529,45208
80,535,46020
81,540,46832
82,547,47644
83,548,48456
84,555,49268
85,559,50080
